kind,label,morph,gamma_min,gamma_max,tau_h,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,tau_h:low,,,,0.4,closed,44,13.19867089,0.2678998494,2.119299549,32.96815226,0,0.001337543945,0.001892791604,0.1248268237,1.0
oat,tau_h:low,,,,0.4,open,44,13.24169271,0.2669503935,2.11586215,33.17705557,0,0.00175990398,0.0002414019623,0.02525468093,1.0
oat,tau_h:low,,,,0.4,closed,45,13.19867144,0.2678998354,2.119299491,32.96815576,0,0.001337543309,0.001892790114,0.124826734,1.0
oat,tau_h:low,,,,0.4,open,45,13.2416933,0.2669503798,2.115862109,33.17705809,0,0.001759904224,0.000241401936,0.02525468094,1.0
oat,tau_h:low,,,,0.4,closed,46,13.19867099,0.2678998474,2.119299549,32.96815225,0,0.001337539822,0.001892809933,0.1248279354,1.0
oat,tau_h:low,,,,0.4,open,46,13.24169326,0.2669503805,2.115862096,33.17705885,0,0.001759904192,0.0002414019305,0.02525468039,1.0
oat,tau_h:high,,,,0.6,closed,42,13.3129953,0.2711588042,2.111390649,33.48282698,0,0.001304638924,0.001971524104,0.1297702971,1.0
oat,tau_h:high,,,,0.6,open,42,13.26786368,0.2720277831,2.115059604,33.25894839,0,0.001697720381,0.0002362291606,0.02472186008,1.0
oat,tau_h:high,,,,0.6,closed,43,13.31299532,0.2711588047,2.111390641,33.48282748,0,0.00130463939,0.001971538146,0.1297711535,1.0
oat,tau_h:high,,,,0.6,open,43,13.26786344,0.2720277876,2.115059641,33.2589461,0,0.001697720336,0.0002362291872,0.02472186139,1.0
oat,tau_h:high,,,,0.6,closed,44,13.31299564,0.2711587995,2.111390595,33.4828303,0,0.001304636633,0.001971556439,0.1297722667,1.0
oat,tau_h:high,,,,0.6,open,44,13.26786332,0.2720277904,2.115059642,33.25894605,0,0.001697720272,0.0002362291863,0.02472186093,1.0
oat,tau_h:high,,,,0.6,closed,45,13.31299525,0.2711588069,2.111390634,33.48282795,0,0.001304646347,0.001971520434,0.1297700824,1.0
oat,tau_h:high,,,,0.6,open,45,13.26786391,0.2720277777,2.115059601,33.25894856,0,0.001697720502,0.0002362291581,0.02472186071,1.0
oat,tau_h:high,,,,0.6,closed,46,13.31299699,0.2711587766,2.111390561,33.48283228,0,0.001304630021,0.001971580104,0.1297737122,1.0
oat,tau_h:high,,,,0.6,open,46,13.26786387,0.2720277784,2.115059589,33.25894932,0,0.001697720465,0.0002362291515,0.02472186006,1.0
morph,morph=2h,2.0,,,,closed,42,12.14621477,0.2692122904,2.133998913,32.05764477,0,0.0001995101193,0.03009431577,1.881880521,1.0
morph,morph=2h,2.0,,,,open,42,12.130503,0.2695047819,2.13457879,32.02323049,0,0,0.03058957426,1.911848391,1.0
morph,morph=2h,2.0,,,,closed,43,12.14622262,0.2692121748,2.133998632,32.05766162,0,0.0001995781144,0.03009410867,1.881867819,1.0
morph,morph=2h,2.0,,,,open,43,12.13050268,0.2695047866,2.134578843,32.02322724,0,0,0.03058957562,1.911848476,1.0
morph,morph=2h,2.0,,,,closed,44,12.14621424,0.2692122975,2.133999028,32.05763758,0,0.0001995143156,0.03009431167,1.881880291,1.0
morph,morph=2h,2.0,,,,open,44,12.13050255,0.2695047895,2.134578842,32.02322728,0,0,0.03058957655,1.911848534,1.0
morph,morph=2h,2.0,,,,closed,45,12.14621911,0.2692122263,2.133998748,32.05765468,0,0.0001995425011,0.03009421166,1.881874124,1.0
morph,morph=2h,2.0,,,,open,45,12.13050327,0.2695047764,2.13457879,32.02323047,0,0,0.03058957232,1.91184827,1.0
morph,morph=2h,2.0,,,,closed,46,12.14621487,0.2692122932,2.133998888,32.05764636,0,0.0001995028747,0.03009432691,1.881881163,1.0
morph,morph=2h,2.0,,,,open,46,12.13050324,0.2695047771,2.134578771,32.0232317,0,0,0.03058957287,1.911848304,1.0
morph,morph=2.5h,2.5,,,,closed,42,12.73567684,0.2693738547,2.125480086,32.59108121,0,8.748880675e-05,0.01380270117,0.8631179916,1.0
morph,morph=2.5h,2.5,,,,open,42,12.72915632,0.2695047819,2.125759278,32.57445001,0,0,0.01400399359,0.8752495997,1.0
morph,morph=2.5h,2.5,,,,closed,43,12.73567608,0.2693738709,2.125480093,32.59108091,0,8.747666041e-05,0.01380272441,0.8631193763,1.0
