n_prediction,n_control,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,mean_solve_time_s,solver_success_rate,n_constraint_violations,violation_hours
8,3,44,13.41880695,0.207631325,2.086101998,26.39937758,0.255218,1,0,
8,3,45,13.41523771,0.2075169965,2.086153506,26.39229673,0.253075,1,0,
8,3,46,13.42493719,0.2078274586,2.086013731,26.41151418,0.258693,1,0,
8,3,47,13.41495536,0.2075078935,2.086157521,26.39174267,0.250073,1,0,
8,3,48,13.42123443,0.2077087474,2.086066982,26.40418788,0.25024,1,0,
8,3,49,13.42407575,0.207799973,2.086026252,26.40979637,0.259617,1,0,
8,3,50,13.42635476,0.2078729977,2.085993451,26.41430795,0.275187,1,0,
8,3,51,13.4242209,0.2078045783,2.086024116,26.4100885,0.257986,1,0,
8,3,52,13.42294053,0.2077635096,2.086042511,26.40755703,0.257288,1,0,
8,3,53,13.42151292,0.2077177869,2.086063092,26.40472728,0.255635,1,0,
8,3,54,13.42322724,0.2077726737,2.086038355,26.40812765,0.252746,1,0,
8,3,55,13.41994847,0.2076674092,2.086085336,26.40165805,0.249651,1,0,
8,3,56,13.41481244,0.2075033151,2.086159583,26.39145917,0.249991,1,0,
8,3,57,13.41938166,0.2076492026,2.086093465,26.40053871,0.252589,1,0,
8,3,58,13.42308793,0.2077681479,2.0860403,26.40785788,0.25867,1,0,
8,3,59,13.42151414,0.2077178066,2.086063053,26.40473188,0.257976,1,0,
8,3,60,13.41994723,0.2076673907,2.086085377,26.40165324,0.259119,1,0,
8,3,61,13.4199494,0.2076674228,2.086085306,26.40166153,0.255002,1,0,
12,1,42,13.4533094,0.2069885144,2.085563145,26.45276695,0.135674,1,0,
12,1,43,13.4497365,0.2068737283,2.085620366,26.44503825,0.132183,1,0,
12,1,44,13.45207202,0.2069487982,2.08558298,26.45008877,0.132112,1,0,
12,1,45,13.44863309,0.2068383872,2.08563816,26.44263882,0.132317,1,0,
12,1,46,13.45797845,0.2071384253,2.085488494,26.46285172,0.133156,1,0,
12,1,47,13.44836142,0.2068295452,2.085642419,26.4420602,0.133024,1,0,
12,1,48,13.4544079,0.207023808,2.085545582,26.45513982,0.134522,1,0,
12,1,49,13.45714693,0.207111994,2.085502005,26.46103433,0.133869,1,0,
12,1,50,13.45934545,0.2071824805,2.085466825,26.46578513,0.134407,1,0,
12,1,51,13.45728718,0.2071163985,2.08549968,26.46134552,0.136098,1,0,
12,1,52,13.45605245,0.2070767281,2.085519383,26.45868256,0.133889,1,0,
12,1,53,13.45467577,0.2070326362,2.085541495,26.45569892,0.136914,1,0,
12,1,54,13.45632915,0.2070855424,2.085514901,26.45928601,0.140243,1,0,
12,1,55,13.45316877,0.2069841057,2.085565491,26.45245345,0.139036,1,0,
12,1,56,13.44822378,0.2068251246,2.08564463,26.44176178,0.135408,1,0,
12,1,57,13.45262267,0.2069664514,2.085574133,26.45128264,0.136001,1,0,
12,1,58,13.45619505,0.2070811309,2.085516951,26.45900572,0.136866,1,0,
12,1,59,13.45467706,0.207032635,2.085541437,26.4557055,0.136944,1,0,
12,1,60,13.45316744,0.2069841078,2.085565551,26.45244675,0.136129,1,0,
12,1,61,13.45316975,0.2069841058,2.085565448,26.45245832,0.138717,1,0,
12,2,42,13.43331448,0.206435242,2.085105304,26.49804977,0.276129,1,0,
12,2,43,13.42955939,0.2063198299,2.085161358,26.49044532,0.268266,1,0,
12,2,44,13.43201416,0.2063952971,2.085124726,26.4954154,0.270123,1,0,
12,2,45,13.42839903,0.2062842793,2.085178776,26.48808589,0.262348,1,0,
12,2,46,13.43822106,0.2065859038,2.085032132,26.50797661,0.278539,1,0,
12,2,47,13.42811363,0.2062754157,2.085182966,26.48751472,0.257733,1,0,
12,2,48,13.43446673,0.2064708377,2.085088168,26.50037807,0.286791,1,0,
12,2,49,13.43734725,0.2065592592,2.08504532,26.50619315,0.26643,1,0,
12,2,50,13.43965614,0.2066301794,2.085010887,26.51086477,0.273469,1,0,
12,2,51,13.43749474,0.2065637107,2.085043058,26.50649775,0.271272,1,0,
12,2,52,13.43619792,0.2065238201,2.085062358,26.50387765,0.274397,1,0,
12,2,53,13.43474768,0.2064796656,2.085084128,26.50093188,0.272086,1,0,
12,2,54,13.43648867,0.2065327021,2.085057981,26.50447,0.266654,1,0,
12,2,55,13.43316652,0.2064307826,2.085107583,26.49774316,0.259024,1,0,
12,2,56,13.42796888,0.2062709745,2.085185135,26.48722082,0.255113,1,0,
12,2,57,13.43259287,0.206413056,2.085116066,26.49658948,0.269442,1,0,
12,2,58,13.43634809,0.2065282858,2.085060004,26.50419279,0.285471,1,0,
12,2,59,13.4347491,0.2064796764,2.085084079,26.5009375,0.276844,1,0,
12,2,60,13.43316505,0.2064307745,2.085107635,26.49773729,0.265907,1,0,
12,2,61,13.43316761,0.2064307895,2.085107546,26.49774748,0.267107,1,0,
12,3,42,13.43335365,0.2064250753,2.085092305,26.49939778,0.410442,1,0,
12,3,43,13.4295977,0.2063095866,2.085148217,26.4918084,0.431599,1,0,
12,3,44,13.43205842,0.2063847812,2.085111407,26.49679546,0.419316,1,0,
