n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,2,49,2,1.965986053,0.2028156089,1.990063796,37.14949859
3,2,49,3,2,0.2044188101,2.019503464,33.85557196
3,2,49,4,2,0.2060145378,2.045113769,30.99236451
3,2,49,5,2,0.2076029996,2.067385967,28.5046124
3,2,49,6,1.993047163,0.2091478816,2.086724417,26.34641677
3,2,50,0,,0.2011173184,1.920111732,45
3,2,50,1,1.641659902,0.2013955033,1.956401324,40.9205505
3,2,50,2,1.965408333,0.202844925,1.990059649,37.15029487
3,2,50,3,2,0.2044679156,2.019498326,33.85670235
3,2,50,4,2,0.2060831104,2.045106444,30.99396008
3,2,50,5,2,0.207690724,2.067375518,28.50677492
3,2,50,6,1.992042911,0.2092490083,2.086706663,26.34955181
3,2,51,0,,0.2011173184,1.920111732,45
3,2,51,1,1.641924834,0.2013832943,1.956402838,40.92024282
3,2,51,2,1.965949382,0.2028174522,1.990063534,37.14954877
3,2,51,3,2,0.2044219108,2.019503139,33.85564332
3,2,51,4,2,0.2060188854,2.045113306,30.99246556
3,2,51,5,2,0.2076085835,2.067385304,28.50474987
3,2,51,6,1.992981032,0.2091543346,2.086723278,26.34661752
3,2,52,0,,0.2011173184,1.920111732,45
3,2,52,1,1.6420834,0.2013759667,1.956403742,40.92005862
3,2,52,2,1.966274218,0.2028009609,1.990065861,37.14910143
3,2,52,3,2,0.2043943089,2.019506024,33.85500825
3,2,52,4,2,0.2059803638,2.04511742,30.99156936
3,2,52,5,2,0.2075593287,2.067391171,28.50353569
3,2,52,6,1.993544194,0.2090975635,2.08673324,26.34485814
3,2,53,0,,0.2011173184,1.920111732,45
3,2,53,1,1.642260705,0.2013678221,1.956404756,40.91985296
3,2,53,2,1.966636349,0.2027826151,1.990068459,37.14860283
3,2,53,3,2,0.2043635878,2.019509241,33.85430072
3,2,53,4,2,0.2059374657,2.045122006,30.99057087
3,2,53,5,2,0.2075044474,2.067397711,28.50218251
3,2,53,6,1.994176141,0.2090342776,2.08674436,26.34289508
3,2,54,0,,0.2011173184,1.920111732,45
3,2,54,1,1.642047886,0.2013775964,1.956403539,40.92009981
3,2,54,2,1.966201429,0.2028046334,1.99006534,37.14920142
3,2,54,3,2,0.2044004673,2.019505379,33.85515016
3,2,54,4,2,0.2059889732,2.045116499,30.99176977
3,2,54,5,2,0.2075703551,2.067389857,28.50380753
3,2,54,6,1.993416359,0.2091102862,2.086731001,26.34525313
3,2,55,0,,0.2011173184,1.920111732,45
3,2,55,1,1.642455374,0.2013588665,1.956405868,40.91962715
3,2,55,2,1.967033745,0.202762454,1.990071308,37.14805551
3,2,55,3,2,0.2043298759,2.019512771,33.85352438
3,2,55,4,2,0.2058904491,2.045127034,30.98947624
3,2,55,5,2,0.2074443668,2.067404876,28.50070062
3,2,55,6,1.994863082,0.2089650334,2.086756512,26.34074905
3,2,56,0,,0.2011173184,1.920111732,45
3,2,56,1,1.643094793,0.2013295393,1.95640952,40.91888637
3,2,56,2,1.968339079,0.2026963686,1.990080655,37.14626045
3,2,56,3,2,0.2042193968,2.019524348,33.85097904
3,2,56,4,2,0.2057363607,2.045143523,30.98588776
3,2,56,5,2,0.2072474358,2.067428366,28.49584246
3,2,56,6,1.99714211,0.2087380268,2.086796439,26.3337034
3,2,57,0,,0.2011173184,1.920111732,45
3,2,57,1,1.64252583,0.2013556103,1.956406269,40.91954536
