kind,label,morph,gamma_min,alpha_gamma,tau_opt,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,alpha_gamma:high,,,0.005964,,open,44,13.4416341,0.2098393234,2.086433909,26.38687762,0,0.0009105617488,7.979700614e-05,0.01890236345,1.0
oat,alpha_gamma:high,,,0.005964,,closed,45,13.43805048,0.20970808,2.08647682,26.38057365,0,0.0009040823825,8.281910591e-05,0.01916698924,1.0
oat,alpha_gamma:high,,,0.005964,,open,45,13.43803518,0.2097187286,2.086482688,26.38003327,0,0.0009093199272,7.974095295e-05,0.01888311451,1.0
oat,alpha_gamma:high,,,0.005964,,closed,46,13.44782516,0.2100354751,2.086344411,26.39915285,0,0.000907331858,8.300247421e-05,0.01922140618,1.0
oat,alpha_gamma:high,,,0.005964,,open,46,13.44780972,0.2100462414,2.086350343,26.39860666,0,0.000912633196,7.988819126e-05,0.01893418782,1.0
oat,alpha_gamma:high,,,0.005964,,closed,47,13.43776556,0.2096984994,2.086480633,26.38003689,0,0.0009039890906,8.281149289e-05,0.01916511708,1.0
oat,alpha_gamma:high,,,0.005964,,open,47,13.43775025,0.2097091378,2.086486497,26.37949685,0,0.0009092189795,7.973631411e-05,0.01888154112,1.0
oat,alpha_gamma:high,,,0.005964,,closed,48,13.44409272,0.2099104631,2.086394924,26.39206381,0,0.0009061107492,8.29343544e-05,0.01920107849,1.0
oat,alpha_gamma:high,,,0.005964,,open,48,13.44407734,0.2099211848,2.08640083,26.39151993,0,0.0009113893071,7.983374925e-05,0.01891511582,1.0
oat,alpha_gamma:high,,,0.005964,,closed,49,13.4469573,0.2100064841,2.086356263,26.39749332,0,0.0009070546758,8.298398822e-05,0.01921646976,1.0
oat,alpha_gamma:high,,,0.005964,,open,49,13.4469419,0.2100172304,2.086362183,26.39694821,0,0.0009123466513,7.987570423e-05,0.0189297978,1.0
oat,alpha_gamma:high,,,0.005964,,closed,50,13.44925421,0.210083392,2.086325165,26.40185715,0,0.0009077925923,8.302715961e-05,0.0192290049,1.0
oat,alpha_gamma:high,,,0.005964,,open,50,13.44923877,0.2100941726,2.086331103,26.40131039,0,0.000913103559,7.990850447e-05,0.01894136422,1.0
oat,alpha_gamma:high,,,0.005964,,closed,51,13.44710344,0.2100113541,2.086354246,26.39777501,0,0.0009071006613,8.298777958e-05,0.01921737328,1.0
oat,alpha_gamma:high,,,0.005964,,open,51,13.44708803,0.2100221057,2.086360169,26.39722963,0,0.0009123953553,7.987786014e-05,0.01893054878,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,42,13.60300174,0.2177060456,2.085513301,26.57894667,0,0.005978012134,0.0005420448916,0.1256939575,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,42,13.60317658,0.2177970589,2.085550764,26.57575596,0,0.006023803701,0.0005217922245,0.1239346887,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,43,13.59820519,0.2175339594,2.085569036,26.57074045,0,0.005945562318,0.0005393456499,0.1250416785,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,43,13.59837654,0.2176241652,2.085606233,26.56757068,0,0.00599092442,0.0005192450563,0.1232948951,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,44,13.60134078,0.2176464608,2.085532612,26.57610379,0,0.005966771591,0.0005411082703,0.1254678475,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,44,13.60151442,0.2177371873,2.085569979,26.57292067,0,0.006012412789,0.0005209096952,0.1237130163,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,45,13.59672291,0.217480782,2.085586332,26.56819646,0,0.005935517618,0.0005384950364,0.1248380234,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,45,13.59689306,0.2175706878,2.085623426,26.56503477,0,0.005980718852,0.0005184528977,0.1230961011,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,46,13.60926579,0.2179307374,2.085440577,26.58965588,0,0.006020341374,0.0005455771741,0.1265460121,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,46,13.60944527,0.2180228611,2.085478413,26.58643568,0,0.006066716045,0.0005251144122,0.1247694834,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,47,13.59635842,0.2174676976,2.085590513,26.5675789,0,0.005933077258,0.0005382961528,0.1247893877,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,47,13.59652827,0.2175575572,2.085627595,26.56441803,0,0.005978248893,0.0005182624003,0.1230481659,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,48,13.60447584,0.2177589267,2.085496188,26.5814668,0,0.005987975489,0.0005428745188,0.1258943105,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,48,13.60465176,0.2178501937,2.085533736,26.5782694,0,0.006033900696,0.0005225740214,0.1241311161,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,49,13.60814968,0.217890719,2.085453661,26.58773375,0,0.006012760858,0.0005449229896,0.1263909399,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,49,13.60832818,0.2179825684,2.0854914,26.58452141,0,0.006058993359,0.0005245143453,0.1246189282,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,50,13.61109829,0.2179964726,2.08541941,26.59277669,0,0.006032683612,0.0005465943448,0.1267929864,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,50,13.61127906,0.2180888791,2.085457338,26.58954937,0,0.006079208478,0.0005260793684,0.1250122125,1.0
oat,tau_opt:low,,,,1.1199999999999999,closed,51,13.60833812,0.2178974749,2.085451426,26.58806116,0,0.006014049181,0.0005450392057,0.1264178707,1.0
oat,tau_opt:low,,,,1.1199999999999999,open,51,13.60851683,0.2179893878,2.085489188,26.58484693,0,0.006060314718,0.0005246175381,0.1246447621,1.0
oat,tau_opt:high,,,,1.68,closed,42,13.3104463,0.20300904,2.087195829,26.22432096,0,0.003463952146,0.0003171819017,0.07336403012,1.0
oat,tau_opt:high,,,,1.68,open,42,13.31083245,0.2029915028,2.087170071,26.22702142,0,0.003472753906,0.0003037897621,0.07196635746,1.0
oat,tau_opt:high,,,,1.68,closed,43,13.30718185,0.2029033573,2.087244457,26.21766139,0,0.003451531435,0.0003161807048,0.07311764773,1.0
oat,tau_opt:high,,,,1.68,open,43,13.3075642,0.2028858709,2.087218872,26.22034297,0,0.003460299686,0.0003028840829,0.07173045042,1.0
oat,tau_opt:high,,,,1.68,closed,44,13.30931558,0.202972445,2.087212675,26.22201404,0,0.003459663011,0.0003168371694,0.07327910245,1.0
oat,tau_opt:high,,,,1.68,open,44,13.30970046,0.2029549242,2.087186978,26.22470786,0,0.003468454911,0.0003034773639,0.07188495054,1.0
oat,tau_opt:high,,,,1.68,closed,45,13.30617449,0.2028707896,2.087259519,26.21560046,0,0.003447668954,0.0003158686938,0.07304097762,1.0
oat,tau_opt:high,,,,1.68,open,45,13.30655569,0.2028533193,2.087233989,26.21827606,0,0.003456427321,0.0003026018519,0.07165701901,1.0
